variant,attrs,threads,offered_ops_s,tput_ops_s,loss_pct
otel-log/noop,8,4,6274672.522174332,,
otel-span/grpc,8,4,6510464.287152517,46292.39235929367,99.28895405431153
otel-span/noop,8,4,5003853.505113189,,
quent-log/grpc,8,4,4359524.244770406,634637.1672790817,0
quent-log/msgpack,8,4,3346436.3102836427,1481909.3657963402,0
quent-log/ndjson,8,4,3505628.297625129,1413672.151097074,0
quent-log/noop,8,4,5345662.583771644,,
quent-log/postcard,8,4,3739399.191255457,1923584.0371667212,0
quent-span/grpc,8,4,2930113.061723514,362518.04260228114,0
quent-span/msgpack,8,4,2210528.0840955973,1000544.4993181624,0
quent-span/ndjson,8,4,2662503.8135541338,1142135.1548456561,0
quent-span/noop,8,4,6939553.986537821,,
quent-span/postcard,8,4,2805707.091600732,1487524.1295472716,0
tracing-log/file,8,4,1955189.7223528337,1916121.5988126667,1.9981755782325417
tracing-span/file,8,4,981978.9038408314,981978.656984556,0.000025138653625411678
otel-log/grpc,8,8,15275526.504627138,154483.15140215046,98.98868853158446
otel-log/noop,8,8,12559689.295391886,,
otel-span/grpc,8,8,9419682.026199225,53447.36457439424,99.43259905774165
otel-span/noop,8,8,8373562.860060063,,
